"term","weight"
"_intercept","-0.06724152"
"raining","-29.5501115991"
"yellow","-14.3996802779"
"four","9.06714906319"
"gag","18.8233764377"
"woods","-37.2521575792"
"hanging","61.2268981744"
"increase","-26.9592449062"
"electricity","158.279682173"
"funk","-67.9061884798"
"lord","16.9656445271"
"shaving","-240.528915637"
"callin","55.713638497"
"kent","-0.774773832406"
"retail","47.5900762412"
"oceans","-17.7080254424"
"dell","-71.3968072286"
"crackin","28.6800689687"
"stabbed","17.9320548032"
"screaming","49.8919348274"
"basics","-182.302745541"
"wednesday","12.1288873265"
"crotch","-39.9419943009"
"zzzzzz","-98.8752676144"
"commented","-61.7000891413"
"specially","-15.2139974233"
"tired","-9.19783600481"
"bacon","-51.1471969018"
"tires","-76.7059732459"
"consists","134.910043844"
"second","-39.8690246161"
"admire","-21.7308999498"
"t-minus","-28.8063726427"
"cooking","78.7415083363"
"fingers","130.051430689"
"alllll","131.430295048"
"increasing","47.1130807903"
"no1","-3.24131581132"
"specialist","-63.53017902"
"hero","-31.5059270889"
"leaning","-53.051981863"
"jasmine","102.943103483"
"here","-5.0244021191"
"herd","36.9961165499"
"47","18.3480412137"
"dork","75.6023260683"
"kids","37.5412549347"
"k","3.2311024588"
"climbed","31.6241972802"
"snowing","35.2542027728"
"iloveyou","-29.6223427516"
"military","19.0214673951"
"i'm","1.22201221926"
"golden","17.1414096076"
"magically","79.2368273956"
"geography","-8.87369794404"
"replace","81.1222258514"
"txt","-23.0414481246"
"unit","-30.0732803713"
"hoping","-24.5357557094"
"dna","14.8398844672"
"spoke","-28.8236136389"
"dnt","19.0154452072"
"music","-13.7779484745"
"therefore","63.7374395394"
"passport","-53.2099035453"
"strike","-167.814864902"
"until","33.7145749374"
"paperwork","-78.5373564528"
"holy","-12.4091593878"
"successful","-18.3630879309"
"brings","-2.28460220537"
"feared","-132.814462058"
"yahoo","16.3108008066"
"hurt","43.6471563826"
"99","-132.207823211"
"glass","35.062594458"
"91","-56.8767676725"
"90","-57.0562135547"
"midst","146.572327719"
"92","105.464825346"
"95","-237.822163235"
"97","-0.696996661312"
"circumstances","110.515330632"
